evaluated_at_datetime_utc,evaluated_at_datetime_ept,forecast_datetime_beginning_utc,forecast_datetime_beginning_ept,forecast_datetime_ending_utc,forecast_datetime_ending_ept,forecast_area,forecast_load_mw
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/22/2026 9:00:00 AM,2/22/2026 4:00:00 AM,2/22/2026 10:00:00 AM,2/22/2026 5:00:00 AM,RTO_COMBINED,88331
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/22/2026 10:00:00 AM,2/22/2026 5:00:00 AM,2/22/2026 11:00:00 AM,2/22/2026 6:00:00 AM,RTO_COMBINED,90182
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/22/2026 11:00:00 AM,2/22/2026 6:00:00 AM,2/22/2026 12:00:00 PM,2/22/2026 7:00:00 AM,RTO_COMBINED,92859
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/22/2026 12:00:00 PM,2/22/2026 7:00:00 AM,2/22/2026 1:00:00 PM,2/22/2026 8:00:00 AM,RTO_COMBINED,95787
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/22/2026 1:00:00 PM,2/22/2026 8:00:00 AM,2/22/2026 2:00:00 PM,2/22/2026 9:00:00 AM,RTO_COMBINED,98376
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/22/2026 2:00:00 PM,2/22/2026 9:00:00 AM,2/22/2026 3:00:00 PM,2/22/2026 10:00:00 AM,RTO_COMBINED,100421
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/22/2026 3:00:00 PM,2/22/2026 10:00:00 AM,2/22/2026 4:00:00 PM,2/22/2026 11:00:00 AM,RTO_COMBINED,101756
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/22/2026 4:00:00 PM,2/22/2026 11:00:00 AM,2/22/2026 5:00:00 PM,2/22/2026 12:00:00 PM,RTO_COMBINED,102503
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/22/2026 5:00:00 PM,2/22/2026 12:00:00 PM,2/22/2026 6:00:00 PM,2/22/2026 1:00:00 PM,RTO_COMBINED,102693
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/22/2026 6:00:00 PM,2/22/2026 1:00:00 PM,2/22/2026 7:00:00 PM,2/22/2026 2:00:00 PM,RTO_COMBINED,102500
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/22/2026 7:00:00 PM,2/22/2026 2:00:00 PM,2/22/2026 8:00:00 PM,2/22/2026 3:00:00 PM,RTO_COMBINED,102649
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/22/2026 8:00:00 PM,2/22/2026 3:00:00 PM,2/22/2026 9:00:00 PM,2/22/2026 4:00:00 PM,RTO_COMBINED,103444
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/22/2026 9:00:00 PM,2/22/2026 4:00:00 PM,2/22/2026 10:00:00 PM,2/22/2026 5:00:00 PM,RTO_COMBINED,105962
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/22/2026 10:00:00 PM,2/22/2026 5:00:00 PM,2/22/2026 11:00:00 PM,2/22/2026 6:00:00 PM,RTO_COMBINED,109394
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/22/2026 11:00:00 PM,2/22/2026 6:00:00 PM,2/23/2026 12:00:00 AM,2/22/2026 7:00:00 PM,RTO_COMBINED,111621
2/21/2026 9:47:29 PM,2/21/2026 4:47:29 PM,2/23/2026 12:00:00 AM,2/22/2026 7:00:00 PM,2/23/2026 1:00:00 AM,2/22/2026 8:00:00 PM,RTO_COMBINED,111500
